title,overview,country,degree,funding,deadline,duration,applyUrl,officialSource,lastUpdated
Kuwait Government Scholarship,"Government-funded scholarship for international undergraduate students.",Kuwait,Bachelors,Fully Funded,June,4 years,https://www.mohe.edu.kw,Kuwait Ministry of Higher Education,2026-02-06
Kuwait Government Scholarship,"Postgraduate funding for master’s programs in Kuwait.",Kuwait,Masters,Fully Funded,June,2 years,https://www.mohe.edu.kw,Kuwait Ministry of Higher Education,2026-02-06
UAE Government Scholarship,"Scholarships for international students at UAE public universities.",United Arab Emirates,Masters,Fully Funded,May,2 years,https://www.moe.gov.ae,UAE Ministry of Education,2026-02-06
UAE Government Scholarship,"Doctoral research funding in UAE universities.",United Arab Emirates,PhD,Fully Funded,May,3–4 years,https://www.moe.gov.ae,UAE Ministry of Education,2026-02-06
Oman Government Scholarship,"Scholarship for international undergraduate students in Oman.",Oman,Bachelors,Fully Funded,July,4 years,https://www.mohe.gov.om,Oman Ministry of Higher Education,2026-02-06
Oman Government Scholarship,"Postgraduate scholarships for international students.",Oman,Masters,Fully Funded,July,2 years,https://www.mohe.gov.om,Oman Ministry of Higher Education,2026-02-06
Bahrain Government Scholarship,"Funding for international undergraduate studies in Bahrain.",Bahrain,Bachelors,Fully Funded,June,4 years,https://www.moedu.gov.bh,Bahrain Ministry of Education,2026-02-06
Bahrain Government Scholarship,"Master’s degree funding for international students.",Bahrain,Masters,Fully Funded,June,2 years,https://www.moedu.gov.bh,Bahrain Ministry of Education,2026-02-06
Indonesia LPDP Scholarship,"Flagship Indonesian government scholarship for international master’s students.",Indonesia,Masters,Fully Funded,March,2 years,https://lpdp.kemenkeu.go.id,LPDP Indonesia,2026-02-06
Indonesia LPDP Scholarship,"Doctoral funding program for international researchers.",Indonesia,PhD,Fully Funded,March,3–4 years,https://lpdp.kemenkeu.go.id,LPDP Indonesia,2026-02-06
Thailand Chulalongkorn Scholarship,"Fully funded graduate scholarships at Chulalongkorn University.",Thailand,Masters,Fully Funded,April,2 years,https://www.chula.ac.th,Chulalongkorn University,2026-02-06
Thailand AIT Fellowship,"Graduate fellowships for international students at AIT.",Thailand,Masters,Fully Funded,March,2 years,https://www.ait.ac.th,Asian Institute of Technology,2026-02-06
Singapore SINGA Scholarship,"Doctoral scholarship for international students in Singapore.",Singapore,PhD,Fully Funded,December,4 years,https://www.a-star.edu.sg,A*STAR Singapore,2026-02-06
Singapore Government Scholarship,"Funding for international master’s students in Singapore.",Singapore,Masters,Fully Funded,January,2 years,https://www.moe.gov.sg,Ministry of Education Singapore,2026-02-06
Hong Kong Government Scholarship,"Scholarships for international postgraduate students in Hong Kong.",Hong Kong,Masters,Fully Funded,December,1–2 years,https://www.edb.gov.hk,Hong Kong Education Bureau,2026-02-06
Hong Kong PhD Fellowship Scheme,"Prestigious doctoral funding for international students.",Hong Kong,PhD,Fully Funded,December,4 years,https://cerg1.ugc.edu.hk,UGC Hong Kong,2026-02-06
Macau Government Scholarship,"Scholarships for international undergraduate students.",Macau,Bachelors,Fully Funded,May,4 years,https://www.dsedj.gov.mo,Macau Education Bureau,2026-02-06
Macau Government Scholarship,"Postgraduate scholarships for international students.",Macau,Masters,Fully Funded,May,2 years,https://www.dsedj.gov.mo,Macau Education Bureau,2026-02-06
Brazil PEC-G Scholarship,"Undergraduate scholarship for international students in Brazil.",Brazil,Bachelors,Fully Funded,June,4–5 years,https://www.gov.br/mre,Brazil Ministry of Foreign Affairs,2026-02-06
