title,overview,country,degree,funding,deadline,duration,applyUrl,officialSource,lastUpdated
Germany Friedrich Ebert Stiftung Scholarship,"Merit-based funding for international postgraduate students with strong academic background.",Germany,Masters,Fully Funded,May,2 years,https://www.fes.de,Friedrich Ebert Foundation,2026-02-06
Germany Friedrich Ebert Stiftung Scholarship,"Doctoral research funding for international candidates.",Germany,PhD,Fully Funded,May,3–4 years,https://www.fes.de,Friedrich Ebert Foundation,2026-02-06
France Sciences Po Emile Boutmy Scholarship,"Scholarships for outstanding international master’s students.",France,Masters,Partially Funded,February,2 years,https://www.sciencespo.fr,Sciences Po,2026-02-06
Italy University of Padua Excellence Scholarship,"Merit-based funding for international master’s students.",Italy,Masters,Fully Funded,March,2 years,https://www.unipd.it,University of Padua,2026-02-06
Spain University of Barcelona Scholarship,"Scholarships for international postgraduate students.",Spain,Masters,Partially Funded,April,1–2 years,https://www.ub.edu,University of Barcelona,2026-02-06
Netherlands Maastricht University NL-High Potential Scholarship,"High-value scholarships for international master’s students.",Netherlands,Masters,Fully Funded,February,1–2 years,https://www.maastrichtuniversity.nl,Maastricht University,2026-02-06
Sweden Lund University Global Scholarship,"Merit-based tuition scholarships for international students.",Sweden,Masters,Partially Funded,January,2 years,https://www.lunduniversity.lu.se,Lund University,2026-02-06
Finland Aalto University Scholarship,"Tuition and living support for international master’s students.",Finland,Masters,Partially Funded,January,2 years,https://www.aalto.fi,Aalto University,2026-02-06
Japan Waseda University Scholarship,"Scholarships for international postgraduate students in Japan.",Japan,Masters,Partially Funded,April,2 years,https://www.waseda.jp,Waseda University,2026-02-06
South Korea Yonsei University Scholarship,"Merit-based funding for international graduate students.",South Korea,Masters,Partially Funded,March,2 years,https://www.yonsei.ac.kr,Yonsei University,2026-02-06
Canada University of British Columbia International Scholarship,"Merit-based funding for international graduate students.",Canada,Masters,Partially Funded,December,2 years,https://www.ubc.ca,University of British Columbia,2026-02-06
United States Yale University Graduate Scholarship,"Need-based and merit funding for international graduate students.",United States,Masters,Partially Funded,December,1–2 years,https://www.yale.edu,Yale University,2026-02-06
