title,overview,country,degree,funding,deadline,duration,applyUrl,officialSource,lastUpdated
Open Doors: Russian Scholarship Project,"Merit-based Russian government scholarship offering tuition-free degrees at top Russian universities.",Russia,Masters,Fully Funded,January,Full degree duration,https://od.globaluni.ru,Open Doors – Global Universities,2026-02-06
Open Doors: Russian Scholarship Project,"Competitive Olympiad-based admission for international PhD applicants in Russia.",Russia,PhD,Fully Funded,January,Full degree duration,https://od.globaluni.ru,Open Doors – Global Universities,2026-02-06
Erasmus Mundus Joint Master Degree,"EU-funded joint master programs delivered across multiple European universities.",Multiple (EU),Masters,Fully Funded,December–January,1–2 years,https://erasmus-plus.ec.europa.eu,European Commission – Erasmus+,2026-02-06
Chevening Scholarship,"UK government scholarship for one-year master’s programs for future leaders.",United Kingdom,Masters,Fully Funded,November,1 year,https://www.chevening.org,UK FCDO,2026-02-06
DAAD EPOS Scholarship,"German government scholarship for development-focused postgraduate studies.",Germany,Masters,Fully Funded,August–October,1–2 years,https://www.daad.de,DAAD,2026-02-06
DAAD Research Grants,"Funding for doctoral candidates conducting research in Germany.",Germany,PhD,Fully Funded,Varies,3–4 years,https://www.daad.de,DAAD,2026-02-06
Türkiye Bursları,"Turkish government scholarship covering tuition stipend housing and insurance.",Turkey,Bachelors,Fully Funded,February,Degree + language year,https://www.turkiyeburslari.gov.tr,YTB Turkey,2026-02-06
Türkiye Bursları,"Fully funded postgraduate scholarships at Turkish public universities.",Turkey,Masters,Fully Funded,February,Degree + language year,https://www.turkiyeburslari.gov.tr,YTB Turkey,2026-02-06
Türkiye Bursları,"Doctoral-level funding with monthly stipend and tuition coverage.",Turkey,PhD,Fully Funded,February,Degree + language year,https://www.turkiyeburslari.gov.tr,YTB Turkey,2026-02-06
Chinese Government Scholarship (CSC),"National scholarship for international students studying in China.",China,Masters,Fully Funded,March–April,2–3 years,https://www.campuschina.org,China Scholarship Council,2026-02-06
Chinese Government Scholarship (CSC),"Doctoral funding program for international researchers in China.",China,PhD,Fully Funded,March–April,3–4 years,https://www.campuschina.org,China Scholarship Council,2026-02-06
MEXT Scholarship,"Japanese government scholarship via embassy recommendation.",Japan,Masters,Fully Funded,May,2 years + language,https://www.studyinjapan.go.jp,MEXT Japan,2026-02-06
MEXT Scholarship,"Doctoral-level funding at Japanese universities.",Japan,PhD,Fully Funded,May,3–4 years,https://www.studyinjapan.go.jp,MEXT Japan,2026-02-06
Fulbright Foreign Student Program,"US government-funded graduate study opportunity for international students.",United States,Masters,Fully Funded,Varies by country,2 years,https://foreign.fulbrightonline.org,US Department of State,2026-02-06
Fulbright Foreign Student Program,"Research-oriented doctoral funding in the United States.",United States,PhD,Fully Funded,Varies by country,3–5 years,https://foreign.fulbrightonline.org,US Department of State,2026-02-06
Commonwealth Scholarship,"UK-funded scholarship for students from Commonwealth countries.",United Kingdom,Masters,Fully Funded,December,1 year,https://cscuk.fcdo.gov.uk,Commonwealth Scholarship Commission,2026-02-06
Commonwealth PhD Scholarship,"Doctoral research funding in UK universities.",United Kingdom,PhD,Fully Funded,October,3–4 years,https://cscuk.fcdo.gov.uk,Commonwealth Scholarship Commission,2026-02-06
Swedish Institute Scholarship,"Leadership-focused funding for international master’s students in Sweden.",Sweden,Masters,Fully Funded,February,1–2 years,https://si.se,Swedish Institute,2026-02-06
Finland Government Scholarship Pool,"Tuition and living support for postgraduate studies in Finland.",Finland,Masters,Fully Funded,January,2 years,https://www.studyinfinland.fi,Finnish National Agency,2026-02-06
Eiffel Excellence Scholarship,"French government scholarship for international master’s students.",France,Masters,Fully Funded,January,1–2 years,https://www.campusfrance.org,Campus France,2026-02-06
Eiffel Excellence Scholarship,"Doctoral-level funding with monthly allowance.",France,PhD,Fully Funded,January,Up to 3 years,https://www.campusfrance.org,Campus France,2026-02-06
Swiss Government Excellence Scholarship,"Research and postgraduate funding in Switzerland.",Switzerland,Masters,Fully Funded,December,1–2 years,https://www.sbfi.admin.ch,Swiss Government,2026-02-06
Swiss Government Excellence Scholarship,"Fully funded doctoral research in Switzerland.",Switzerland,PhD,Fully Funded,December,3–4 years,https://www.sbfi.admin.ch,Swiss Government,2026-02-06
Korean Government Scholarship (GKS),"South Korea’s flagship scholarship for international graduate students.",South Korea,Masters,Fully Funded,February,2 years + language,https://www.studyinkorea.go.kr,NIIED Korea,2026-02-06
Korean Government Scholarship (GKS),"Doctoral funding including research and settlement allowance.",South Korea,PhD,Fully Funded,February,3 years + language,https://www.studyinkorea.go.kr,NIIED Korea,2026-02-06
Australia Awards Scholarship,"Australian government scholarship for developing countries.",Australia,Masters,Fully Funded,April,2 years,https://www.dfat.gov.au,Australian Government,2026-02-06
New Zealand Manaaki Scholarship,"Government-funded scholarships for postgraduate study in New Zealand.",New Zealand,Masters,Fully Funded,February,1–2 years,https://www.nzscholarships.govt.nz,New Zealand Government,2026-02-06
VLIR-UOS Scholarship,"Belgian scholarship for students from developing countries.",Belgium,Masters,Fully Funded,February,1–2 years,https://www.vliruos.be,VLIR-UOS,2026-02-06
ADB–Japan Scholarship Program,"Development-focused postgraduate funding in Asia-Pacific.",Japan,Masters,Fully Funded,March,2 years,https://www.adb.org,Asian Development Bank,2026-02-06
Stipendium Hungaricum,"Fully funded Hungarian government scholarship for international bachelor’s students.",Hungary,Bachelors,Fully Funded,January,3–4 years,https://stipendiumhungaricum.hu,Tempus Public Foundation,2026-02-06
Qatar Government Scholarship,"Scholarship for international students at selected Qatari universities.",Qatar,Masters,Fully Funded,Varies,2 years,https://www.edu.gov.qa,Ministry of Education Qatar,2026-02-06
Brunei Government Scholarship,"Fully funded scholarship for international students in Brunei public universities.",Brunei,Bachelors,Fully Funded,February,Degree duration,https://www.moe.gov.bn,Ministry of Education Brunei,2026-02-06
Brunei Government Scholarship,"Postgraduate funding covering tuition accommodation and stipend.",Brunei,Masters,Fully Funded,February,2 years,https://www.moe.gov.bn,Ministry of Education Brunei,2026-02-06
Romanian Government Scholarship,"Romanian state scholarship for non-EU international students.",Romania,Bachelors,Fully Funded,March,Degree + language year,https://studyinromania.gov.ro,Romanian Ministry of Foreign Affairs,2026-02-06
Romanian Government Scholarship,"Fully funded postgraduate studies in Romanian universities.",Romania,Masters,Fully Funded,March,2 years,https://studyinromania.gov.ro,Romanian Ministry of Foreign Affairs,2026-02-06
Slovak Government Scholarship,"National scholarship for international students studying in Slovakia.",Slovakia,Masters,Fully Funded,April,2 years,https://www.vladnestipendia.sk,Slovak Ministry of Education,2026-02-06
