title,overview,country,degree,funding,deadline,duration,applyUrl,officialSource,lastUpdated
Austria Ernst Mach Grant,"Scholarships for international students pursuing graduate study in Austria.",Austria,Masters,Fully Funded,March,1–2 years,https://oead.at,OeAD Austria,2026-02-06
Austria Ernst Mach Grant,"Doctoral research funding at Austrian universities.",Austria,PhD,Fully Funded,March,3–4 years,https://oead.at,OeAD Austria,2026-02-06
Belgium ARES Scholarship,"Fully funded postgraduate scholarships for students from developing countries.",Belgium,Masters,Fully Funded,January,1–2 years,https://www.ares-ac.be,ARES Belgium,2026-02-06
Belgium ARES Scholarship,"Doctoral research and training scholarships in Belgium.",Belgium,PhD,Fully Funded,January,3–4 years,https://www.ares-ac.be,ARES Belgium,2026-02-06
Netherlands Orange Tulip Scholarship,"Partial scholarships for talented international master’s students.",Netherlands,Masters,Partially Funded,April,1–2 years,https://www.orangetulipscholarship.nl,Nuffic Netherlands,2026-02-06
Netherlands Leiden Excellence Scholarship,"Merit-based scholarships for international master’s students.",Netherlands,Masters,Partially Funded,February,1–2 years,https://www.universiteitleiden.nl,Leiden University,2026-02-06
Germany Heinrich Böll Scholarship,"Scholarships for international postgraduate students with strong academic records.",Germany,Masters,Fully Funded,March,2 years,https://www.boell.de,Heinrich Böll Foundation,2026-02-06
Germany Heinrich Böll Scholarship,"Doctoral funding for international researchers.",Germany,PhD,Fully Funded,March,3–4 years,https://www.boell.de,Heinrich Böll Foundation,2026-02-06
Germany Konrad Adenauer Scholarship,"Postgraduate scholarships for future leaders.",Germany,Masters,Fully Funded,July,2 years,https://www.kas.de,Konrad Adenauer Foundation,2026-02-06
Germany Konrad Adenauer Scholarship,"Doctoral scholarships for international candidates.",Germany,PhD,Fully Funded,July,3–4 years,https://www.kas.de,Konrad Adenauer Foundation,2026-02-06
France ENS International Selection,"Highly selective scholarships at ENS for international students.",France,Masters,Fully Funded,October,2 years,https://www.ens.psl.eu,École Normale Supérieure,2026-02-06
France ENS International Selection,"Doctoral funding for international researchers.",France,PhD,Fully Funded,October,3–4 years,https://www.ens.psl.eu,École Normale Supérieure,2026-02-06
Italy Bocconi Merit Award,"Merit-based scholarships for international students.",Italy,Masters,Partially Funded,May,2 years,https://www.unibocconi.eu,Bocconi University,2026-02-06
Italy Politecnico di Milano Merit Scholarship,"Scholarships for high-achieving international master’s students.",Italy,Masters,Fully Funded,February,2 years,https://www.polimi.it,Politecnico di Milano,2026-02-06
Spain La Caixa Foundation Scholarship,"Prestigious scholarships for postgraduate studies.",Spain,Masters,Fully Funded,February,1–2 years,https://fundacionlacaixa.org,La Caixa Foundation,2026-02-06
Spain La Caixa Foundation Scholarship,"Doctoral research funding for international students.",Spain,PhD,Fully Funded,February,3–4 years,https://fundacionlacaixa.org,La Caixa Foundation,2026-02-06
Portugal Gulbenkian Foundation Scholarship,"Scholarships for postgraduate studies in Portugal.",Portugal,Masters,Fully Funded,March,2 years,https://gulbenkian.pt,Gulbenkian Foundation,2026-02-06
Sweden Chalmers IPOET Scholarship,"Partial tuition scholarships for international master’s students.",Sweden,Masters,Partially Funded,January,2 years,https://www.chalmers.se,Chalmers University of Technology,2026-02-06
Sweden KTH Scholarship,"Tuition waiver scholarships for international students.",Sweden,Masters,Partially Funded,January,2 years,https://www.kth.se,KTH Royal Institute of Technology,2026-02-06
Finland University of Helsinki Scholarship,"Tuition and living support for international master’s students.",Finland,Masters,Fully Funded,January,2 years,https://www.helsinki.fi,University of Helsinki,2026-02-06
Norway BI Presidential Scholarship,"Merit-based scholarships for international master’s students.",Norway,Masters,Fully Funded,March,2 years,https://www.bi.edu,BI Norwegian Business School,2026-02-06
Denmark Copenhagen Business School Scholarship,"Scholarships for international master’s students.",Denmark,Masters,Partially Funded,January,2 years,https://www.cbs.dk,Copenhagen Business School,2026-02-06
Switzerland ETH Excellence Scholarship,"Highly competitive scholarships for master’s students.",Switzerland,Masters,Fully Funded,December,2 years,https://ethz.ch,ETH Zurich,2026-02-06
Switzerland EPFL Excellence Fellowship,"Merit-based fellowships for international master’s students.",Switzerland,Masters,Fully Funded,December,2 years,https://www.epfl.ch,EPFL,2026-02-06
Japan Keio University Scholarship,"Scholarships for international postgraduate students.",Japan,Masters,Fully Funded,April,2 years,https://www.keio.ac.jp,Keio University,2026-02-06
Japan University of Tokyo Fellowship,"Funding for international graduate students.",Japan,Masters,Fully Funded,April,2 years,https://www.u-tokyo.ac.jp,University of Tokyo,2026-02-06
South Korea KAIST Scholarship,"Full funding for international graduate students.",South Korea,Masters,Fully Funded,March,2 years,https://www.kaist.ac.kr,KAIST,2026-02-06
South Korea KAIST Scholarship,"Doctoral research funding for international students.",South Korea,PhD,Fully Funded,March,4 years,https://www.kaist.ac.kr,KAIST,2026-02-06
China Schwarzman Scholars,"Elite leadership-focused master’s program funding.",China,Masters,Fully Funded,September,1 year,https://www.schwarzmanscholars.org,Schwarzman Scholars,2026-02-06
China Tsinghua University Scholarship,"Scholarships for international graduate students.",China,Masters,Fully Funded,March,2 years,https://www.tsinghua.edu.cn,Tsinghua University,2026-02-06
Australia Melbourne Graduate Scholarship,"Merit-based scholarships for international students.",Australia,Masters,Partially Funded,October,2 years,https://www.unimelb.edu.au,University of Melbourne,2026-02-06
Australia Sydney Scholars Award,"Scholarships for high-achieving international students.",Australia,Masters,Partially Funded,December,2 years,https://www.sydney.edu.au,University of Sydney,2026-02-06
Canada Vanier Graduate Scholarship,"Prestigious doctoral funding for international students.",Canada,PhD,Fully Funded,November,3 years,https://vanier.gc.ca,Government of Canada,2026-02-06
Canada Ontario Graduate Scholarship,"Merit-based funding for graduate students.",Canada,Masters,Partially Funded,October,2 years,https://www.ontario.ca,Government of Ontario,2026-02-06
USA Knight-Hennessy Scholars,"Full funding for graduate study at Stanford University.",United States,Masters,Fully Funded,October,2 years,https://knight-hennessy.stanford.edu,Stanford University,2026-02-06
USA Knight-Hennessy Scholars,"Doctoral funding for interdisciplinary research.",United States,PhD,Fully Funded,October,3–5 years,https://knight-hennessy.stanford.edu,Stanford University,2026-02-06
USA AAUW International Fellowship,"Funding for women pursuing graduate study.",United States,Masters,Partially Funded,November,1–2 years,https://www.aauw.org,AAUW,2026-02-06
UK Gates Cambridge Scholarship,"Highly competitive scholarship for postgraduate study.",United Kingdom,Masters,Fully Funded,October,1–2 years,https://www.gatescambridge.org,Gates Cambridge Trust,2026-02-06
UK Gates Cambridge Scholarship,"Doctoral funding at the University of Cambridge.",United Kingdom,PhD,Fully Funded,October,3–4 years,https://www.gatescambridge.org,Gates Cambridge Trust,2026-02-06
UK Clarendon Scholarship,"Graduate funding at the University of Oxford.",United Kingdom,Masters,Fully Funded,January,1–2 years,https://www.ox.ac.uk,University of Oxford,2026-02-06
UK Clarendon Scholarship,"Doctoral scholarships at Oxford University.",United Kingdom,PhD,Fully Funded,January,3–4 years,https://www.ox.ac.uk,University of Oxford,2026-02-06
Ireland Trinity Global Excellence Scholarship,"Merit-based scholarships for international students.",Ireland,Masters,Partially Funded,April,1–2 years,https://www.tcd.ie,Trinity College Dublin,2026-02-06
New Zealand University of Auckland Scholarship,"Scholarships for international postgraduate students.",New Zealand,Masters,Partially Funded,May,2 years,https://www.auckland.ac.nz,University of Auckland,2026-02-06
Singapore NUS Research Scholarship,"Doctoral funding for international research students.",Singapore,PhD,Fully Funded,December,4 years,https://www.nus.edu.sg,National University of Singapore,2026-02-06
Singapore NTU Scholarship,"Merit-based funding for international graduate students.",Singapore,Masters,Fully Funded,January,2 years,https://www.ntu.edu.sg,Nanyang Technological University,2026-02-06
